INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ABIRLANUVO,29-May-2014,0,XX,0,0,0,1113.65,1121.7,0,0,0,0,10-MAR-2014,
FUTSTK,ACC,27-Mar-2014,0,XX,1220.45,1263.3,1220.45,1244.3,1244.3,2217,6879.04,986250,23000,10-MAR-2014,
FUTSTK,ACC,24-Apr-2014,0,XX,1231.9,1269.9,1231.9,1251.85,1251.85,18,56.1,17000,3000,10-MAR-2014,
FUTSTK,ACC,29-May-2014,0,XX,0,0,0,1182.8,1294.95,0,0,2500,0,10-MAR-2014,
FUTSTK,ADANIENT,27-Mar-2014,0,XX,301.95,323,301.3,317.85,317.85,8241,51986.77,5020000,296000,10-MAR-2014,
FUTSTK,ADANIENT,24-Apr-2014,0,XX,305.2,325,305.2,319.9,319.9,165,1046.53,280000,14000,10-MAR-2014,
FUTSTK,ADANIENT,29-May-2014,0,XX,305,319,305,319,319,2,12.48,4000,4000,10-MAR-2014,
FUTSTK,ADANIPORTS,27-Mar-2014,0,XX,181.7,191.65,181.7,188.2,188.2,1804,6767.28,4426000,-102000,10-MAR-2014,
FUTSTK,ADANIPORTS,24-Apr-2014,0,XX,187.7,189.9,186.45,189.3,189.3,10,37.72,60000,-2000,10-MAR-2014,
FUTSTK,ADANIPORTS,29-May-2014,0,XX,189,189,189,189,189,1,3.78,2000,2000,10-MAR-2014,
FUTSTK,ADANIPOWER,27-Mar-2014,0,XX,39.6,41.5,39.1,41.1,41.1,1770,5783.55,19288000,-640000,10-MAR-2014,
FUTSTK,ADANIPOWER,24-Apr-2014,0,XX,40.5,41.7,40.35,41.4,41.4,46,151.05,424000,64000,10-MAR-2014,
FUTSTK,ADANIPOWER,29-May-2014,0,XX,0,0,0,38.6,41.9,0,0,32000,0,10-MAR-2014,
FUTSTK,ALBK,27-Mar-2014,0,XX,80.6,85.05,80.5,84.1,84.1,2359,7866.01,8144000,-332000,10-MAR-2014,
FUTSTK,ALBK,24-Apr-2014,0,XX,81.75,85.4,81.75,84.65,84.65,58,195.11,224000,24000,10-MAR-2014,
FUTSTK,ALBK,29-May-2014,0,XX,83.9,83.9,83.9,83.9,85.55,1,3.35,28000,0,10-MAR-2014,
FUTSTK,AMBUJACEM,27-Mar-2014,0,XX,181.95,186.2,180.95,183.3,183.3,1799,6598.29,8692000,84000,10-MAR-2014,
FUTSTK,AMBUJACEM,24-Apr-2014,0,XX,184.3,186.9,182.75,184.3,184.3,23,84.74,136000,16000,10-MAR-2014,
FUTSTK,AMBUJACEM,29-May-2014,0,XX,0,0,0,170.05,186.7,0,0,0,0,10-MAR-2014,
FUTSTK,ANDHRABANK,27-Mar-2014,0,XX,58.75,60.9,58.55,60.35,60.35,1192,2863.78,5844000,164000,10-MAR-2014,
FUTSTK,ANDHRABANK,24-Apr-2014,0,XX,59.85,61.15,59.55,60.8,60.8,20,48.51,156000,36000,10-MAR-2014,
FUTSTK,ANDHRABANK,29-May-2014,0,XX,0,0,0,57.05,61.3,0,0,0,0,10-MAR-2014,
FUTSTK,APOLLOHOSP,27-Mar-2014,0,XX,892,892,871.2,877.1,877.1,408,894.74,196500,14250,10-MAR-2014,
FUTSTK,APOLLOHOSP,24-Apr-2014,0,XX,881,881.25,880,881,881,13,28.59,1500,750,10-MAR-2014,
FUTSTK,APOLLOHOSP,29-May-2014,0,XX,0,0,0,931.1,891.75,0,0,0,0,10-MAR-2014,
