Date,Open,High,Low,Close
8-October-2007,5367.31,5392.28,5157.41,5219.19,
9-October-2007,5190.16,5456.84,5145.88,5446.23,
10-October-2007,5496.02,5581.55,5493.74,5563.34,
11-October-2007,5577.92,5639.83,5542.57,5636.67,
12-October-2007,5624.10,5655.03,5498.28,5525.06,
15-October-2007,5550.14,5737.68,5550.14,5728.24,
16-October-2007,5738.92,5776.31,5663.07,5750.70,
17-October-2007,5432.74,5657.70,5208.48,5628.14,
18-October-2007,5662.35,5784.72,5335.01,5405.50,
19-October-2007,5409.71,5409.71,5147.02,5246.18,
22-October-2007,5154.94,5300.59,5118.95,5264.76,
23-October-2007,5343.34,5563.66,5343.34,5552.57,
24-October-2007,5625.06,5670.92,5517.52,5585.32,
25-October-2007,5587.99,5686.20,5572.15,5654.39,
26-October-2007,5675.61,5811.60,5621.61,5801.60,
29-October-2007,5907.04,6016.74,5907.04,6002.85,
30-October-2007,6041.91,6079.69,5951.36,5994.47,
31-October-2007,6013.83,6073.85,5985.24,6026.89,
1-November-2007,6108.14,6147.20,5949.91,5980.22,
2-November-2007,5873.99,6071.13,5834.01,6059.65,
5-November-2007,6068.59,6091.19,5957.68,5983.61,
6-November-2007,6021.79,6089.85,5891.92,5916.27,
7-November-2007,5968.47,6009.12,5865.83,5894.20,
8-November-2007,5829.49,5864.73,5776.42,5825.86,
9-November-2007,5878.20,5903.30,5739.60,5790.08,
12-November-2007,5706.34,5751.12,5595.10,5731.91,
13-November-2007,5720.73,5873.76,5713.94,5829.82,
14-November-2007,5911.64,6097.81,5911.64,6082.25,
15-November-2007,6097.83,6123.92,6056.03,6078.81,
16-November-2007,6033.35,6131.28,5999.99,6078.95,
19-November-2007,6149.06,6174.38,6095.39,6108.37,
20-November-2007,6070.75,6132.51,5960.63,5990.44,
21-November-2007,5977.57,5988.55,5711.68,5745.48,
22-November-2007,5794.16,5797.00,5584.94,5723.87,
23-November-2007,5793.74,5849.42,5727.19,5827.65,
26-November-2007,5929.55,5982.79,5910.92,5952.14,
27-November-2007,5922.71,5947.56,5884.78,5935.40,
28-November-2007,5991.01,5991.73,5843.84,5863.70,
29-November-2007,5976.90,5977.82,5859.84,5877.15,
30-November-2007,5917.48,6039.73,5895.02,6022.95,
3-December-2007,6083.05,6137.57,6067.93,6133.18,
4-December-2007,6169.49,6180.21,6128.00,6145.62,
5-December-2007,6183.54,6234.89,6147.55,6222.66,
6-December-2007,6316.55,6327.83,6207.06,6238.45,
7-December-2007,6324.98,6332.53,6179.80,6274.32,
10-December-2007,6313.55,6314.85,6245.28,6276.49,
11-December-2007,6320.34,6391.14,6311.17,6378.00,
12-December-2007,6347.49,6451.31,6303.09,6439.71,
